,simulation,n_samples,criterion,n_dimensions,score,runtime
35,Logarithmic,5,axis,10,112549.39674929265,1.3004918098449707
36,Logarithmic,5,axis,10,113081.71737668428,1.3338425159454346
37,Logarithmic,5,axis,10,112273.02220539874,1.519202709197998
38,Logarithmic,5,axis,10,112582.430263768,1.2686309814453125
39,Logarithmic,5,axis,10,112356.75566370456,1.0546653270721436
40,Logarithmic,5,oblique,10,109517.67986089658,1.1711463928222656
41,Logarithmic,5,oblique,10,109496.1873546347,1.0653226375579834
42,Logarithmic,5,oblique,10,110448.79618683047,1.1811840534210205
43,Logarithmic,5,oblique,10,109467.08736286413,1.086317539215088
44,Logarithmic,5,oblique,10,109286.96983467147,1.2633576393127441
45,Logarithmic,5,oblique,10,109267.771249407,1.1416771411895752
46,Logarithmic,5,oblique,10,109744.95553462657,1.0896787643432617
47,Logarithmic,5,oblique,10,109413.29278789165,1.2743093967437744
48,Logarithmic,5,oblique,10,109721.19464625511,0.9594626426696777
49,Logarithmic,5,oblique,10,109618.62577875296,1.2615392208099365
50,Logarithmic,8,mae,10,102781.92149797156,1.184096097946167
51,Logarithmic,8,mae,10,102706.92455195762,1.264030933380127
52,Logarithmic,8,mae,10,102156.07581360808,1.3305411338806152
53,Logarithmic,8,mae,10,102396.05205467495,1.1649577617645264
54,Logarithmic,8,mae,10,102947.2129154547,1.4889264106750488
55,Logarithmic,8,mae,10,102516.7572282021,1.5078027248382568
56,Logarithmic,8,mae,10,102806.12322775624,1.2617666721343994
57,Logarithmic,8,mae,10,102508.5673643584,1.245331048965454
58,Logarithmic,8,mae,10,102395.73443776075,1.39559006690979
59,Logarithmic,8,mae,10,102462.69023745325,1.369278907775879
60,Logarithmic,8,mse,10,103771.08912116951,1.1991124153137207
61,Logarithmic,8,mse,10,103595.72087797384,1.110318660736084
62,Logarithmic,8,mse,10,102923.73229785266,1.0736541748046875
63,Logarithmic,8,mse,10,103613.43865476351,1.121981143951416
64,Logarithmic,8,mse,10,103294.51055587042,1.057340145111084
65,Logarithmic,8,mse,10,103197.40263580192,1.182157039642334
66,Logarithmic,8,mse,10,103820.65314847336,1.0620346069335938
67,Logarithmic,8,mse,10,103522.01132012943,1.0579254627227783
68,Logarithmic,8,mse,10,103299.80385790145,1.0393123626708984
69,Logarithmic,8,mse,10,102917.37283024979,1.0945522785186768
70,Logarithmic,8,friedman_mse,10,101334.92950942536,1.204131841659546
71,Logarithmic,8,friedman_mse,10,101313.35618384261,1.072572946548462
72,Logarithmic,8,friedman_mse,10,101496.90239073553,1.1491913795471191
73,Logarithmic,8,friedman_mse,10,101032.706291663,1.0391278266906738
74,Logarithmic,8,friedman_mse,10,101898.64392412375,1.1127440929412842
75,Logarithmic,8,friedman_mse,10,101573.93429621498,1.2060542106628418
76,Logarithmic,8,friedman_mse,10,101384.88691960933,1.144221544265747
77,Logarithmic,8,friedman_mse,10,101269.22953373262,1.4048521518707275
78,Logarithmic,8,friedman_mse,10,101184.51933016538,1.0916211605072021
79,Logarithmic,8,friedman_mse,10,101604.95291832842,1.152799129486084
80,Logarithmic,8,axis,10,100077.289342535,1.5918445587158203
81,Logarithmic,8,axis,10,100522.73610952948,1.3804998397827148
82,Logarithmic,8,axis,10,100851.4589307147,1.4296774864196777
83,Logarithmic,8,axis,10,100125.92554323665,1.393836259841919
84,Logarithmic,8,axis,10,100305.50781720596,1.3687429428100586
85,Logarithmic,8,axis,10,100394.63666705464,1.2492849826812744
86,Logarithmic,8,axis,10,100298.59202722757,1.4203624725341797
87,Logarithmic,8,axis,10,100785.28743800557,1.289865255355835
