,n_samples,simulation,criterion,average,error
107,10,bernoulli,friedman_mse,59.16621829578429,0.7860698628353556
108,10,square,mae,0.08612107474656247,0.0003980259000218896
109,10,square,mse,0.0874926117498767,0.00023374578856420308
110,10,square,friedman_mse,0.08623766407851877,0.00046471499302626855
111,10,linear,mae,0.7835070823406539,0.008870638905247296
112,10,linear,mse,0.7432679511699343,0.009765370657978074
113,10,linear,friedman_mse,0.7862617043291473,0.010603627830819001
114,10,exponential,mae,511.646774576676,5.70338744007255
115,10,exponential,mse,543.476467338131,11.873904695792138
116,10,exponential,friedman_mse,556.2809694489476,6.289030132717821
117,10,cubic,mae,149.4234133889735,4.560992850177085
118,10,cubic,mse,156.45270070856196,2.231275832673263
119,10,cubic,friedman_mse,144.08747416851503,5.893509611555666
120,15,joint_normal,mae,1.4357892312638358,0.0067369036463915104
121,15,joint_normal,mse,1.4673604013210855,0.015184017176384063
122,15,joint_normal,friedman_mse,1.495102933803237,0.0459481187807124
123,15,sine_4pi,mae,0.10422883216718977,0.00026865659291922623
124,15,sine_4pi,mse,0.10375593125967575,0.00021694540869590532
125,15,sine_4pi,friedman_mse,0.10404088282421602,0.0002822601412996492
126,15,sine_16pi,mae,0.10397359912294117,0.00029320260168207445
127,15,sine_16pi,mse,0.1043235165300668,0.00031439607793644835
128,15,sine_16pi,friedman_mse,0.10436009695384563,0.0003711199140226285
129,15,multi_noise,mae,0.14678493106217635,0.0003133194813211703
130,15,multi_noise,mse,0.14659323059562893,0.0003684836588763121
131,15,multi_noise,friedman_mse,0.14877400753604025,0.0003170878897097393
132,15,step,mae,0.5235213259983423,0.0024230977061925106
133,15,step,mse,0.5218349632262358,0.0023602532633857885
134,15,step,friedman_mse,0.5314127457969356,0.007037101708526497
135,15,spiral,mae,232.2566205029181,12.446123190971889
136,15,spiral,mse,222.85947521554937,3.4195039247147765
137,15,spiral,friedman_mse,224.63775980247792,2.532023888705537
138,15,circle,mae,0.10601642062043726,0.0008479746387914964
139,15,circle,mse,0.10879957091985666,0.002112992362742573
140,15,circle,friedman_mse,0.10717228799482943,0.0016159218803667335
141,15,ellipse,mae,0.10668601942868497,0.0012041448364871435
142,15,ellipse,mse,0.10807063008055214,0.0015862721453915314
143,15,ellipse,friedman_mse,0.10695466112526279,0.0012966595857781668
144,15,diamond,mae,0.08494644732664407,0.00023034743161602774
145,15,diamond,mse,0.08556169298981295,0.00025221035581771356
146,15,diamond,friedman_mse,0.08490041135747581,0.0001419808701421409
147,15,log,mae,0.4608404586526624,0.0014335261331133579
148,15,log,mse,0.46527656762202085,0.0009876724088352978
149,15,log,friedman_mse,0.4652691693458338,0.003208522259153893
150,15,quadratic,mae,3.4117462886933603,0.029753889270715133
151,15,quadratic,mse,3.5885603209111125,0.03970778146205826
152,15,quadratic,friedman_mse,3.6274665211502928,0.07174197345696894
153,15,w_shape,mae,4.8758012206544254,0.1918326455266445
154,15,w_shape,mse,4.106559817660785,0.17996208358902635
155,15,w_shape,friedman_mse,4.882481998653803,0.08208926666628809
156,15,two_parabolas,mae,0.06532929704072267,0.0009137596115931983
157,15,two_parabolas,mse,0.06651237284678703,0.0012736478934708552
158,15,two_parabolas,friedman_mse,0.065235460349538,0.0009593335068949036
159,15,fourth_root,mae,0.1984938054924369,0.002212010345010389
160,15,fourth_root,mse,0.19522266954010684,0.00265935508259172
161,15,fourth_root,friedman_mse,0.19251984466119348,0.0023180741037853994
162,15,multi_indept,mae,0.1614913649760028,0.0028804545552356996
163,15,multi_indept,mse,0.16267231554211858,0.0029632192996888102
164,15,multi_indept,friedman_mse,0.16060854893763596,0.002268174120118938
165,15,bernoulli,mae,59.67092954949071,0.6933240997984512
166,15,bernoulli,mse,59.09057276916798,0.5372889743833711
167,15,bernoulli,friedman_mse,60.97820864577652,0.860474804729397
168,15,square,mae,0.08494594391276139,0.00022190072079077703
169,15,square,mse,0.08559861078419753,0.0001614587737698599
170,15,square,friedman_mse,0.08542927066657298,0.00018482449788874205
171,15,linear,mae,0.7599729904129724,0.004151323826556596
172,15,linear,mse,0.775938210115639,0.005920100847617369
173,15,linear,friedman_mse,0.7774056670737133,0.006019254768216519
174,15,exponential,mae,536.7850575072828,8.373507294669992
175,15,exponential,mse,447.8410539506708,8.535447929474556
176,15,exponential,friedman_mse,531.1319290457643,5.252488204428488
177,15,cubic,mae,163.05557871593265,4.237538163037844
178,15,cubic,mse,155.96876974074354,2.7974881825068474
179,15,cubic,friedman_mse,154.4895849901158,2.306531086035247
180,20,joint_normal,mae,1.5045334103092476,0.01610350343345961
181,20,joint_normal,mse,1.4929361472196967,0.00781292309170271
182,20,joint_normal,friedman_mse,1.4385197567126426,0.006267052578494807
183,20,sine_4pi,mae,0.10299507253926395,0.00033910211738676197
184,20,sine_4pi,mse,0.10325001322502916,0.00012529706064304117
185,20,sine_4pi,friedman_mse,0.10275570786156676,0.00017467923015728482
186,20,sine_16pi,mae,0.10352320572523484,0.00019542546812151984
187,20,sine_16pi,mse,0.10298869252281699,0.00020796940767113065
188,20,sine_16pi,friedman_mse,0.10333512975754262,0.00016756373710517922
189,20,multi_noise,mae,0.14669913429467868,0.00037764106110887156
190,20,multi_noise,mse,0.1469696169686218,0.0004274127724476889
191,20,multi_noise,friedman_mse,0.14639347343223003,0.0002789105432824737
192,20,step,mae,0.5289659337009407,0.002567212182352169
193,20,step,mse,0.525595106761069,0.0024570907354129062
194,20,step,friedman_mse,0.5256809416309911,0.003609797860748354
195,20,spiral,mae,239.2467251731046,5.851773785764328
196,20,spiral,mse,222.1696635541153,2.6258539442082
197,20,spiral,friedman_mse,225.41779046750304,2.248293190923652
198,20,circle,mae,0.10628458455861714,0.002320899333426817
199,20,circle,mse,0.10773232846480352,0.001057472773396523
200,20,circle,friedman_mse,0.10575789509653954,0.0015735839614751778
201,20,ellipse,mae,0.10492521340380541,0.0006640626821065628
202,20,ellipse,mse,0.10682988496539285,0.0010107585875569793
203,20,ellipse,friedman_mse,0.1077000955951456,0.000989217596089829
204,20,diamond,mae,0.0843022411148576,0.00016392855961361462
205,20,diamond,mse,0.08473791797624713,0.00020182923848526113
206,20,diamond,friedman_mse,0.08464234062384175,0.0001532205174164802
207,20,log,mae,0.46460490314303754,0.0015636040041779524
208,20,log,mse,0.46206276306055916,0.0011251142563509847
209,20,log,friedman_mse,0.4527523967004754,0.0009641280073218443
210,20,quadratic,mae,3.2873617462202036,0.06293612419159136
211,20,quadratic,mse,3.659006858895507,0.026489917827173044
212,20,quadratic,friedman_mse,3.503129246233944,0.06489838397502422
213,20,w_shape,mae,4.290284805947049,0.15752654728783502
214,20,w_shape,mse,4.54967950473029,0.06940069268212642
215,20,w_shape,friedman_mse,4.620288804350876,0.07860482177749852
216,20,two_parabolas,mae,0.05642017459884498,0.00035222833118146724
217,20,two_parabolas,mse,0.060004336069075126,0.0008945114132456006
218,20,two_parabolas,friedman_mse,0.060396594669893264,0.00021705722045609128
219,20,fourth_root,mae,0.1903299846886897,0.0011525264485861505
220,20,fourth_root,mse,0.1929346588070826,0.002569938100811083
221,20,fourth_root,friedman_mse,0.1916274240250433,0.001424450341350341
222,20,multi_indept,mae,0.15798601652071795,0.0015265903089922163
223,20,multi_indept,mse,0.1574252449326776,0.0014303581244633882
224,20,multi_indept,friedman_mse,0.159573493578071,0.001331835695479782
225,20,bernoulli,mae,58.69915044829823,0.6079606413828695
226,20,bernoulli,mse,60.751148801920536,0.5034074366662551
227,20,bernoulli,friedman_mse,60.79687609421869,0.6560504156390251
228,20,square,mae,0.08465746047415279,0.0002154450871117889
229,20,square,mse,0.08493571624506943,0.00017015755214014723
230,20,square,friedman_mse,0.08487324455668308,0.00020429436819100502
231,20,linear,mae,0.7399155068918815,0.0055099405530203115
232,20,linear,mse,0.7976844998321675,0.0061926566932636
233,20,linear,friedman_mse,0.7604206106596947,0.004358809855547451
234,20,exponential,mae,502.0902915504612,6.141428751964515
235,20,exponential,mse,473.1109911017528,4.354447407995979
236,20,exponential,friedman_mse,465.42176589198453,4.128132951388249
237,20,cubic,mae,149.1510428265663,3.110429786363167
