,n_samples,n_dim,split,mse
97,20,2,mae,0.23507051617432967
98,20,2,mae,0.22281930063738922
99,20,2,mae,0.24728956081420672
100,20,3,mae,0.3191469520291821
101,20,3,mae,0.33535689425978876
102,20,3,mae,0.3684276607888246
103,20,3,mae,0.3447646261892037
104,20,3,mae,0.3692804397071997
105,20,3,mae,0.30540326229875514
106,20,3,mae,0.34051393816934505
107,20,3,mae,0.3151543777931815
108,20,3,mae,0.35945090538348595
109,20,3,mae,0.34504779003030683
110,20,4,mae,0.47179679345491615
111,20,4,mae,0.4398717933870377
112,20,4,mae,0.47997656539629485
113,20,4,mae,0.4127987350278676
114,20,4,mae,0.42143843205743936
115,20,4,mae,0.42594856482511945
116,20,4,mae,0.4276879425975328
117,20,4,mae,0.47911999144128536
118,20,4,mae,0.4471322547677832
119,20,4,mae,0.42074214507240776
120,20,5,mae,0.4940680679409777
121,20,5,mae,0.4570046467372991
122,20,5,mae,0.5594282283459477
123,20,5,mae,0.4929550744764839
124,20,5,mae,0.4941960884898317
125,20,5,mae,0.5019459144842131
126,20,5,mae,0.502754613919065
127,20,5,mae,0.42828823976347363
128,20,5,mae,0.4687644054398919
129,20,5,mae,0.4738289816367022
130,20,6,mae,0.5095573378115554
131,20,6,mae,0.5023416376797343
132,20,6,mae,0.5230738368514599
133,20,6,mae,0.5573146861510001
134,20,6,mae,0.5374760963709313
135,20,6,mae,0.5494904683211749
136,20,6,mae,0.5212956439338855
137,20,6,mae,0.5572806199791337
138,20,6,mae,0.5256564496238118
139,20,6,mae,0.5575980804566789
140,20,7,mae,0.5653280653463069
141,20,7,mae,0.5737837289028749
142,20,7,mae,0.5546024222418622
143,20,7,mae,0.560339557142618
144,20,7,mae,0.5728420227877477
145,20,7,mae,0.5859584137062716
146,20,7,mae,0.5908306819793798
147,20,7,mae,0.5328047498549637
148,20,7,mae,0.579678652934801
149,20,7,mae,0.6048108250254851
150,20,8,mae,0.5820213304178197
151,20,8,mae,0.6161564097832851
152,20,8,mae,0.5689947749476356
153,20,8,mae,0.6001205777684003
154,20,8,mae,0.622242131516823
155,20,8,mae,0.6175946785584155
156,20,8,mae,0.6148435832569923
157,20,8,mae,0.5819283635785177
158,20,8,mae,0.6660349001826594
159,20,8,mae,0.6153061637669559
160,20,9,mae,0.6523826803180214
161,20,9,mae,0.6756308067614566
162,20,9,mae,0.6312069294089978
163,20,9,mae,0.6377277140883569
164,20,9,mae,0.6784923572466887
165,20,9,mae,0.658788697256177
166,20,9,mae,0.5619401708310717
167,20,9,mae,0.6754677731270444
168,20,9,mae,0.6570950088896341
169,20,9,mae,0.6634326583256831
170,20,10,mae,0.6960141724844949
171,20,10,mae,0.6338069489253011
172,20,10,mae,0.721825450928407
173,20,10,mae,0.7257847687926915
174,20,10,mae,0.6983486598660317
175,20,10,mae,0.650093777991652
176,20,10,mae,0.66529068859869
177,20,10,mae,0.6460733982970562
178,20,10,mae,0.64888936081764
179,20,10,mae,0.704610816984099
180,30,2,mae,0.14397711960071544
181,30,2,mae,0.15263493441129086
182,30,2,mae,0.1841013748581748
183,30,2,mae,0.18775355377357147
184,30,2,mae,0.20738259343554394
185,30,2,mae,0.21205793316324725
186,30,2,mae,0.1743391852476444
187,30,2,mae,0.1808654221986708
188,30,2,mae,0.19993120336679945
189,30,2,mae,0.20653934066108554
190,30,3,mae,0.27326351354414896
191,30,3,mae,0.26899413249992976
192,30,3,mae,0.31895619915330237
193,30,3,mae,0.2801012511140329
194,30,3,mae,0.2640718702067549
195,30,3,mae,0.29177879087061753
196,30,3,mae,0.2768921905320613
197,30,3,mae,0.2902192285615639
198,30,3,mae,0.2912456456102178
199,30,3,mae,0.26029978600638676
200,30,4,mae,0.3147759678243419
201,30,4,mae,0.34033882599118426
202,30,4,mae,0.33341202863655506
203,30,4,mae,0.36825550941755386
204,30,4,mae,0.3627088214289929
205,30,4,mae,0.3756822407829971
206,30,4,mae,0.35431965703645224
207,30,4,mae,0.3240247922670674
208,30,4,mae,0.3473790080070666
209,30,4,mae,0.33704156581228684
210,30,5,mae,0.3752910951955589
211,30,5,mae,0.38575270810906104
212,30,5,mae,0.3952491343850813
213,30,5,mae,0.38815744877380626
214,30,5,mae,0.37880769978200807
