,n_samples,n_dim,scale,split,mse
0,30,3,0.0,mae,0.508376088499285
1,30,3,0.0,mae,0.9165118525892411
2,30,3,0.0,mae,0.47566181880897107
3,30,3,0.0,mae,0.7060635353039343
4,30,3,0.0,mae,0.7575250060670702
5,30,3,0.0,mae,0.9042291082029248
6,30,3,0.0,mae,0.8833627315668171
7,30,3,0.0,mae,1.247274269766509
8,30,3,0.0,mae,0.9692830146365747
9,30,3,0.0,mae,0.5343009151263226
10,30,3,0.10204081632653061,mae,0.8473041695759774
11,30,3,0.10204081632653061,mae,0.48412788852101657
12,30,3,0.10204081632653061,mae,0.40418564520728967
13,30,3,0.10204081632653061,mae,0.7419001999022838
14,30,3,0.10204081632653061,mae,0.7747468537800318
15,30,3,0.10204081632653061,mae,0.7673402293823183
16,30,3,0.10204081632653061,mae,0.7497544633222344
17,30,3,0.10204081632653061,mae,0.7240884434753192
18,30,3,0.10204081632653061,mae,0.5944426875829134
19,30,3,0.10204081632653061,mae,0.32344062176092153
20,30,3,0.20408163265306123,mae,0.7008682325672598
21,30,3,0.20408163265306123,mae,0.6915575440323936
22,30,3,0.20408163265306123,mae,0.46745548299940587
23,30,3,0.20408163265306123,mae,0.7490237969422636
24,30,3,0.20408163265306123,mae,0.7852077887278399
25,30,3,0.20408163265306123,mae,0.9217150125556713
26,30,3,0.20408163265306123,mae,0.5631409307301664
27,30,3,0.20408163265306123,mae,0.4556649460859396
28,30,3,0.20408163265306123,mae,0.6707019896552568
29,30,3,0.20408163265306123,mae,0.819168429036179
30,30,3,0.30612244897959184,mae,0.963550109244948
31,30,3,0.30612244897959184,mae,1.0595451527225384
32,30,3,0.30612244897959184,mae,0.88177621635327
33,30,3,0.30612244897959184,mae,1.233377262688554
34,30,3,0.30612244897959184,mae,0.5950893857815994
35,30,3,0.30612244897959184,mae,0.5993307649213787
36,30,3,0.30612244897959184,mae,0.9721075136126047
37,30,3,0.30612244897959184,mae,0.4973174243951938
38,30,3,0.30612244897959184,mae,0.3479260507779424
39,30,3,0.30612244897959184,mae,0.8547273457934528
40,30,3,0.40816326530612246,mae,1.3299171874687217
41,30,3,0.40816326530612246,mae,1.09118237224217
42,30,3,0.40816326530612246,mae,0.8029986177783375
43,30,3,0.40816326530612246,mae,1.174370138771653
44,30,3,0.40816326530612246,mae,1.0565362851829379
45,30,3,0.40816326530612246,mae,1.4900159335291108
46,30,3,0.40816326530612246,mae,0.9853592629693462
47,30,3,0.40816326530612246,mae,1.4803929653808894
48,30,3,0.40816326530612246,mae,0.912663311777831
49,30,3,0.40816326530612246,mae,0.9518300922653651
50,30,3,0.5102040816326531,mae,1.4820041717778203
