,n_samples,n_dim,split,mse
0,75,2,mae,1.1091438258284358
1,75,2,mae,1.1140188392386372
2,75,2,mae,0.5844921606062178
3,75,2,mae,0.7545147843865957
4,75,2,mae,0.6608241305822236
5,75,2,mae,0.7883025975501428
6,75,2,mae,0.828155137024133
7,75,2,mae,0.6769968503701885
8,75,2,mae,0.9310273790750269
9,75,2,mae,0.9144263593361008
10,75,3,mae,1.5637798664615299
11,75,3,mae,1.6236519493919197
12,75,3,mae,1.0819302365353995
13,75,3,mae,1.4148962504893117
14,75,3,mae,1.3010689764315473
15,75,3,mae,1.096857207606572
16,75,3,mae,1.584929933123849
17,75,3,mae,1.4928458923510413
18,75,3,mae,1.786789747097041
19,75,3,mae,1.3286630059689106
20,75,4,mae,2.7664240396844195
21,75,4,mae,2.0736425468414716
22,75,4,mae,1.5216813261895135
23,75,4,mae,2.050455436961392
24,75,4,mae,1.3187331156500957
25,75,4,mae,2.230004126672114
26,75,4,mae,1.9512632879727152
27,75,4,mae,1.97500426332693
28,75,4,mae,1.3928409822035155
29,75,4,mae,2.0125433935030563
30,75,5,mae,2.095049812408322
31,75,5,mae,2.613669346316973
32,75,5,mae,2.3276481667214086
33,75,5,mae,2.8029671371246754
34,75,5,mae,2.3115618719169326
35,75,5,mae,2.643508525137065
36,75,5,mae,3.1598104000861977
37,75,5,mae,2.318077782854735
38,75,5,mae,2.8846999153482407
39,75,5,mae,2.322096224090975
40,75,6,mae,2.7278089955291214
41,75,6,mae,3.5816838237818973
42,75,6,mae,2.768651304133573
43,75,6,mae,2.9977819170595676
44,75,6,mae,2.7914596365709863
45,75,6,mae,2.447331387321195
46,75,6,mae,4.05634166508008
47,75,6,mae,3.5224467805682798
48,75,6,mae,3.617975848403695
49,75,6,mae,2.686071964044142
50,75,7,mae,4.162367025700267
51,75,7,mae,4.582569269550702
52,75,7,mae,3.226715571524952
53,75,7,mae,3.048000562881318
54,75,7,mae,3.82915522558278
55,75,7,mae,3.4022978370571235
56,75,7,mae,4.43824282714189
57,75,7,mae,3.9472153663791056
58,75,7,mae,3.1765460694528476
59,75,7,mae,4.221997490444812
60,75,8,mae,4.048958572907289
61,75,8,mae,3.494044681796154
62,75,8,mae,4.684435245548309
63,75,8,mae,5.139786477193808
64,75,8,mae,3.6662966027672392
65,75,8,mae,3.803951938291526
66,75,8,mae,3.831820055167809
67,75,8,mae,3.8638870356759054
68,75,8,mae,3.9042327556187284
69,75,8,mae,3.6522773339188803
70,75,9,mae,4.667815298527926
71,75,9,mae,5.296142680389402
72,75,9,mae,4.878673837923523
73,75,9,mae,5.1993712227826885
74,75,9,mae,4.501822028420003
75,75,9,mae,5.237276086080568
76,75,9,mae,4.906890719466914
77,75,9,mae,4.080034757059779
78,75,9,mae,3.81778637097555
79,75,9,mae,4.740724204637381
80,75,10,mae,4.621493879269888
81,75,10,mae,4.791887546022151
82,75,10,mae,5.039964913588301
83,75,10,mae,4.608023207183719
84,75,10,mae,5.493957995870321
85,75,10,mae,5.072107879943042
86,75,10,mae,5.8893087394019545
87,75,10,mae,4.93307205249787
88,75,10,mae,4.372420531331329
89,75,10,mae,5.43259810188361
90,75,11,mae,7.516448053139995
91,75,11,mae,4.9824100160782026
92,75,11,mae,4.734191871796254
93,75,11,mae,6.0159766949090585
94,75,11,mae,5.585486204019671
95,75,11,mae,6.024662989083638
96,75,11,mae,5.0330223426369844
97,75,11,mae,5.8646021630201535
98,75,11,mae,6.352944588320804
99,75,11,mae,6.077697599587048
100,75,12,mae,6.540362963143461
101,75,12,mae,6.819395632509471
102,75,12,mae,5.956433692875747
103,75,12,mae,6.548764668422157
104,75,12,mae,6.235453825811836
105,75,12,mae,5.317417502769281
106,75,12,mae,6.995331982551937
107,75,12,mae,6.356692685575196
108,75,12,mae,6.7292527583070765
109,75,12,mae,7.073233548984462
110,75,13,mae,6.492984436802034
111,75,13,mae,6.462027594538826
112,75,13,mae,6.600102240724636
113,75,13,mae,6.697134017927351
114,75,13,mae,5.37523296732223
115,75,13,mae,6.547898031628417
116,75,13,mae,7.32609031897918
117,75,13,mae,5.803451402901771
118,75,13,mae,6.7073871890142875
119,75,13,mae,5.753952077586984
