,n_samples,simulation,criterion,average,error
57,5,cubic,mae,146.51759807107916,0.9401587539341396
58,5,cubic,mse,164.47108930960954,3.124435678254225
59,5,cubic,friedman_mse,156.78446779400392,2.3248824531140464
60,10,joint_normal,mae,0.11259425181761647,0.001203956714382254
61,10,joint_normal,mse,0.11415642777220861,0.000972101182655653
62,10,joint_normal,friedman_mse,0.11292855880707287,0.0005726921263006802
63,10,sine_4pi,mae,0.07497704144848415,0.0004837083086917432
64,10,sine_4pi,mse,0.07512551419245665,0.0002980414486827189
65,10,sine_4pi,friedman_mse,0.075430763529111,0.0004393209848463452
66,10,sine_16pi,mae,0.07594658517702764,0.0005624616623071065
67,10,sine_16pi,mse,0.07640673242855352,0.0004760568717629939
68,10,sine_16pi,friedman_mse,0.07566950208406154,0.0004364645233615295
69,10,multi_noise,mae,0.10773319475094427,0.00045821532371166044
70,10,multi_noise,mse,0.10396662183975122,0.0007748886658245305
71,10,multi_noise,friedman_mse,0.1088633860531036,0.0007407303473636275
72,10,step,mae,0.5530927095571625,0.01782438507976187
73,10,step,mse,0.5575911935986418,0.008652562748930883
74,10,step,friedman_mse,0.5490036157438678,0.005042807751240432
75,10,spiral,mae,5.456175155101009,0.13217148966964098
76,10,spiral,mse,5.406822435010431,0.15750875804144696
77,10,spiral,friedman_mse,5.2396392655008,0.10212568660860115
78,10,circle,mae,0.08009581586483412,0.0018220848196288577
79,10,circle,mse,0.07758913778420104,0.0011838356887141487
80,10,circle,friedman_mse,0.07783840213450141,0.0012611215886775143
81,10,ellipse,mae,0.07976389064269644,0.0029467629358832913
82,10,ellipse,mse,0.07699061925535372,0.0014856486976398625
83,10,ellipse,friedman_mse,0.07646336211060127,0.0009373180139369936
84,10,diamond,mae,0.06158143062835373,0.00036805599134002255
85,10,diamond,mse,0.06140924836556462,0.0002878386099342085
86,10,diamond,friedman_mse,0.06152831785332556,0.0003633023794783897
87,10,log,mae,0.3329727876945226,0.002317906712635044
88,10,log,mse,0.3293688525904041,0.001961139090325769
89,10,log,friedman_mse,0.3426391958720919,0.00386751039912231
90,10,quadratic,mae,3.3789666633768656,0.02979141137937024
91,10,quadratic,mse,3.371830819466923,0.05255842189932321
92,10,quadratic,friedman_mse,3.355146281493546,0.055875805144535155
93,10,w_shape,mae,4.360654738823974,0.1661029286039842
94,10,w_shape,mse,3.9025066801944512,0.1357762528172247
95,10,w_shape,friedman_mse,4.623822306161802,0.03631556461843652
96,10,two_parabolas,mae,0.042616978210095344,0.000985466853752196
97,10,two_parabolas,mse,0.04476271970422393,0.0008577789692845426
98,10,two_parabolas,friedman_mse,0.044991586944857505,0.0014718620111948567
99,10,fourth_root,mae,0.19895448237774951,0.0015142370128508227
100,10,fourth_root,mse,0.20623827912017872,0.0041098830947933485
101,10,fourth_root,friedman_mse,0.18774234450186528,0.0019675081352810556
102,10,multi_indept,mae,0.1179255104848044,0.0028359145392142415
103,10,multi_indept,mse,0.11432702839791267,0.0015481484403410066
104,10,multi_indept,friedman_mse,0.12259495199558652,0.003044192513846948
105,10,bernoulli,mae,1.7886147727817776,0.04470686939291379
106,10,bernoulli,mse,1.731714061762728,0.019373095675521375
107,10,bernoulli,friedman_mse,1.711680988177071,0.018849096905175347
108,10,square,mae,0.06110543303193955,0.0001606517027196507
109,10,square,mse,0.06212987671988758,0.00040122415488099593
110,10,square,friedman_mse,0.06135972442481561,0.00047897294110646796
111,10,linear,mae,0.7821055988366796,0.010478739715631038
112,10,linear,mse,0.7802065117543823,0.005851791012241482
113,10,linear,friedman_mse,0.780414154368245,0.015002639354171355
114,10,exponential,mae,177.52134254177864,6.162080857432187
115,10,exponential,mse,171.94469993092906,6.2855352672606815
116,10,exponential,friedman_mse,190.84769147421247,6.007618031118212
117,10,cubic,mae,157.4503806098141,8.079434622743255
118,10,cubic,mse,149.48850345292388,2.2555423442917553
119,10,cubic,friedman_mse,151.47984822497924,2.4750700029240904
120,15,joint_normal,mae,0.11098728437792016,0.0006754832417463215
121,15,joint_normal,mse,0.11221442294400738,0.0004490699008393594
122,15,joint_normal,friedman_mse,0.10997884122717896,0.0004473424399179969
123,15,sine_4pi,mae,0.07396188833271515,0.00023227851117126142
124,15,sine_4pi,mse,0.07372314722881279,0.0003831064224974547
125,15,sine_4pi,friedman_mse,0.07357000054718171,0.00015047179751541498
126,15,sine_16pi,mae,0.0734375472252193,0.00025216511241125337
127,15,sine_16pi,mse,0.07383928814194755,0.0002754763786219357
128,15,sine_16pi,friedman_mse,0.07306112070543647,0.0003297118636919688
129,15,multi_noise,mae,0.10527810254907662,0.0005912486994184765
130,15,multi_noise,mse,0.10519779955794732,0.0005530862415171827
131,15,multi_noise,friedman_mse,0.10620374228733698,0.0005364180974679571
132,15,step,mae,0.5455139621301308,0.005673453278966342
133,15,step,mse,0.5453193015029074,0.0045706214936410364
134,15,step,friedman_mse,0.5489790987583723,0.009722320332336118
135,15,spiral,mae,5.121537874759339,0.08563646089792071
136,15,spiral,mse,5.1119112149004255,0.1466524787193384
137,15,spiral,friedman_mse,5.101060854012696,0.0732844500664703
138,15,circle,mae,0.07738229847283805,0.0010895999168419102
139,15,circle,mse,0.0769530412127419,0.0012306795706352324
140,15,circle,friedman_mse,0.07794660525345701,0.0013982370170668478
141,15,ellipse,mae,0.07840642106682197,0.0008217441673597467
142,15,ellipse,mse,0.07703895218560748,0.0009798987219879292
143,15,ellipse,friedman_mse,0.07797587240930058,0.0011802708923372826
144,15,diamond,mae,0.061633050496938915,0.00024511397088816694
145,15,diamond,mse,0.06146864848409924,0.00038037345655540686
146,15,diamond,friedman_mse,0.060171552973974085,0.00020454942021456957
147,15,log,mae,0.3238714513213171,0.0024637336501776652
148,15,log,mse,0.3261967599026715,0.002755387496324734
149,15,log,friedman_mse,0.32014745619209645,0.001872074194177505
150,15,quadratic,mae,3.324959655908505,0.04813238541709778
151,15,quadratic,mse,3.301509863625931,0.036503833227161435
152,15,quadratic,friedman_mse,3.1736721662690153,0.017430681022722598
153,15,w_shape,mae,4.552044853945357,0.42336522146102545
154,15,w_shape,mse,4.566351704547486,0.22132789345268153
155,15,w_shape,friedman_mse,3.992926401323344,0.1067996997861372
156,15,two_parabolas,mae,0.04247468168853445,0.0006828937096400124
