,n_features,n_targets,epsilon,mae_score,mse_score,friedman_mse_score,mae_std,mse_std,friedman_mse_std
0,10.0,2.0,0.0,3.375492265311381,3.338356883105106,3.378105111347231,0.02561923942764783,0.026006130545674782,0.02622603253172615
1,10.0,2.0,0.05555555555555555,3.4468272059572196,3.408613312031729,3.4445223772167646,0.023307763211043855,0.022489829050345536,0.0226025436405984
2,10.0,2.0,0.1111111111111111,3.5169222083335745,3.4668700041483773,3.502429966084798,0.029433139503298313,0.027968121608069302,0.028199078259708615
3,10.0,2.0,0.16666666666666666,3.6139844152720046,3.5527767433119397,3.5889941697278522,0.025237191624067817,0.025115769584586296,0.024312907317628685
4,10.0,2.0,0.2222222222222222,3.6452908810526012,3.5817740243607625,3.601908367213731,0.029842985258907478,0.02875737617434786,0.02886383845992189
5,10.0,2.0,0.2777777777777778,3.683116831177841,3.6055891094118753,3.6173632119894465,0.024504411318879905,0.024850577221909927,0.023835076542654064
6,10.0,2.0,0.3333333333333333,3.744646237094933,3.6639213703412628,3.6794906125661013,0.023800351183570163,0.02305000905213354,0.023329009331206237
7,10.0,2.0,0.38888888888888884,3.8331807831078084,3.732944743461366,3.7402909669913296,0.021935299408768268,0.02213301786563903,0.020861419553689073
8,10.0,2.0,0.4444444444444444,3.513418347399199,3.406910883497164,3.5121134454098324,0.018662008838343788,0.017903092321541043,0.015814394140007088
9,10.0,2.0,0.5,4.199193443087238,4.118096188579191,4.174080203107603,0.021255243980585214,0.021575253049619086,0.01894429392675883
