,n_features,n_targets,epsilon,mae,mse,friedman_mse
0,6.0,2.0,0.0,1.6534193967725426,1.6318233495225614,1.6860448736286262
1,6.0,2.0,0.01020408163265306,25.283639226743986,26.693909224009687,26.598736660146525
2,6.0,2.0,0.02040816326530612,51.94877233012803,55.86311783093808,55.76618710577701
3,6.0,2.0,0.030612244897959183,59.38866538146722,65.0686856842676,65.23184323512832
4,6.0,2.0,0.04081632653061224,66.99503439888426,76.6550192037716,76.34243194768857
5,6.0,2.0,0.0510204081632653,81.35508462881981,86.9636391141098,86.46886670100292
6,6.0,2.0,0.061224489795918366,92.86364227189422,96.14727057604779,94.19396396686497
7,6.0,2.0,0.07142857142857142,111.28712603490283,113.85874662991895,111.35820228882713
8,6.0,2.0,0.08163265306122448,118.50369883199727,122.45067023292577,120.30916775226295
9,6.0,2.0,0.09183673469387754,113.0805076922709,116.46394283117692,115.50941456313325
10,6.0,2.0,0.1020408163265306,115.90339188639201,117.59527426874067,114.9797072227785
11,6.0,2.0,0.11224489795918366,136.6145080860591,142.47055944204902,140.35355860710266
12,6.0,2.0,0.12244897959183673,147.48984248830448,151.70945226048073,148.68791968837897
13,6.0,2.0,0.13265306122448978,138.95767627851362,133.64746072247036,131.307598386973
14,6.0,2.0,0.14285714285714285,155.74627630675002,153.74641103435627,149.72029716173378
15,6.0,2.0,0.1530612244897959,149.21599050436805,151.58426584266354,148.2783003506649
16,6.0,2.0,0.16326530612244897,171.76293124555542,169.01906512238907,165.5870183799639
17,6.0,2.0,0.17346938775510204,167.95713262185157,170.23966313395078,166.09554811213835
18,6.0,2.0,0.18367346938775508,195.08030240326195,190.73760312190007,187.2740564215815
19,6.0,2.0,0.19387755102040816,182.76386700324193,182.45014836442394,178.73076149773843
20,6.0,2.0,0.2040816326530612,172.38549441923806,169.92579968833152,165.31077672897416
21,6.0,2.0,0.21428571428571427,204.4256910590303,202.52955336702558,199.09268577086502
22,6.0,2.0,0.22448979591836732,187.71027105422488,184.99171784663437,181.99751092618325
23,6.0,2.0,0.2346938775510204,210.50122235125207,208.67295708267585,205.58553787568454
24,6.0,2.0,0.24489795918367346,224.7380983459473,223.60669527045866,220.99410276677128
25,6.0,2.0,0.25510204081632654,222.10902261426446,215.29304810531548,212.3746696529783
26,6.0,2.0,0.26530612244897955,220.00391637488494,215.77429128499426,211.47148447251575
27,6.0,2.0,0.2755102040816326,235.03740613172278,231.44547842745328,227.2737800142418
28,6.0,2.0,0.2857142857142857,240.20919277826818,239.16959627759013,232.4218917621334
29,6.0,2.0,0.29591836734693877,225.3539023359766,219.62007805971018,217.7766394634139
30,6.0,2.0,0.3061224489795918,273.7916785675979,268.84766275369907,262.25208865366983
31,6.0,2.0,0.31632653061224486,256.9748181989771,255.48442349799842,250.69024361176824
32,6.0,2.0,0.32653061224489793,229.68396157951958,225.26290405031395,221.51009593878916
33,6.0,2.0,0.336734693877551,254.54644191113132,254.75457085340477,249.5073041127749
34,6.0,2.0,0.3469387755102041,243.2076573913104,239.31492099859162,233.77973676051587
35,6.0,2.0,0.3571428571428571,274.6871331879948,274.5347969968124,270.24846437621176
36,6.0,2.0,0.36734693877551017,261.73051787826597,258.9781142676279,252.8063750786822
37,6.0,2.0,0.37755102040816324,255.76281052676214,255.39062423631097,250.05071081690156
38,6.0,2.0,0.3877551020408163,280.0105493814797,276.4313141765216,270.35692819528106
39,6.0,2.0,0.39795918367346933,261.0281823766246,256.52847108185904,251.18973283219805
40,6.0,2.0,0.4081632653061224,273.33695679842344,273.26552434140547,269.1993909065932
41,6.0,2.0,0.4183673469387755,281.0929357058383,280.44307649193377,272.03140947269804
42,6.0,2.0,0.42857142857142855,268.20013680462415,265.275122483423,259.6287906856347
43,6.0,2.0,0.4387755102040816,295.18437766127244,290.30177787019545,285.8702205305955
44,6.0,2.0,0.44897959183673464,306.67579999288375,300.5150924522015,293.8553638751693
45,6.0,2.0,0.4591836734693877,292.2464047922052,289.48868372098093,282.4855449445181
46,6.0,2.0,0.4693877551020408,301.7094017014444,298.78510377832595,292.0297453936614
47,6.0,2.0,0.47959183673469385,341.70367784177796,335.148666925595,327.717362646547
48,6.0,2.0,0.4897959183673469,313.9862165734475,309.54818488562086,300.88685422164906
49,6.0,2.0,0.5,318.0108762174254,313.2229806320013,306.3211992859781
